"serial_no","category","intm_id","page","name","trade_name","registration_no","email","telephone","fax_no","address","contact_person","correspondence_address","correspondence_email","correspondence_telephone","correspondence_fax","website","exchange_name","emails_all","phone_numbers_all","validity","source_url"
"27","Registered Portfolio Managers","33","2","ALANKIT ASSIGNMENTS LTD.","","INP000001363","","","","205-208, ANARKALI COMPLEX,, JHANDEWALAN EXTN.,, NEW DELHI, NATIONAL CAPITAL TERRITORY OF DELHI, 110055","","ALANKIT HOUSE, 2E/21, JHANDEWALAN EXTN., NEW DELHI, NATIONAL CAPITAL TERRITORY OF DELHI, 110 055","","","","","","","","Oct 01, 2014 - Perpetual","https://www.sebi.gov.in/sebiweb/other/OtherAction.do?doRecognisedFpi=yes&intmId=33"
"28","Registered Portfolio Managers","33","2","ALCHEMY CAPITAL MANAGEMENT PRIVATE LTD","","INP000000365","compliance@alchemycapital.com","9102266171700","9102266171701","B 4 AMERCHAND MANSION, 16 MADAME CAMA ROAD, COLABA, MUMBAI, MAHARASHTRA, 400001","Anis Bohra","B 4, Amerchand Mansion, , 16 Madame Cama Road, Colaba, MUMBAI, MAHARASHTRA, 400001","","","","https://www.alchemycapital.com/","","compliance@alchemycapital.com","9102266171700","May 16, 2015 - Perpetual","https://www.sebi.gov.in/sebiweb/other/OtherAction.do?doRecognisedFpi=yes&intmId=33"
"29","Registered Portfolio Managers","33","2","ALDER CAPITAL ADVISORS LLP","","INP000004771","","40127009","40127009","503 Morya Blue Moon, New Link Road, , Andheri West, MUMBAI, MAHARASHTRA, 400053","Hemant Bhaskar Patel","503 Morya Blue Moon, New Link Road, `, Andheri West, MUMBAI, MAHARASHTRA, 400053","","","","aldercapital.in/","","","40127009","Aug 25, 2015 - Perpetual","https://www.sebi.gov.in/sebiweb/other/OtherAction.do?doRecognisedFpi=yes&intmId=33"
"30","Registered Portfolio Managers","33","2","ALFACCURATE ADVISORS PVT. LTD.","","INP000003419","bhushankoli@alfaccurate.com","9122042360300","9122042360333","503, 5th Floor, B Wing Naman Midtown, Senapati Bapat Marg, Elphinstone Road, MUMBAI, MAHARASHTRA, 400013","Bhushan Koli","503, 5th Floor, B Wing Naman Midtown, Senapati Bapat Marg, Elphinstone Road, MUMBAI, MAHARASHTRA, 400013","","","","alfaccurate.com","","bhushankoli@alfaccurate.com","9122042360300","Sep 22, 2015 - Perpetual","https://www.sebi.gov.in/sebiweb/other/OtherAction.do?doRecognisedFpi=yes&intmId=33"
"31","Registered Portfolio Managers","33","2","ALLEGRO SECURITIES PRIVATE LIMITED","","INP000002437","","08060607888","08060607888","9th Floor, The Residency, No.2, Residency Road, BANGALORE, KARNATAKA, 560025","Madhusudhan T R","9th floor no 2 The Residency , Residency road, BANGALORE, KARNATAKA, 560025","","","","allegroadvisors.com","","","08060607888","Dec 05, 2016 - Perpetual","https://www.sebi.gov.in/sebiweb/other/OtherAction.do?doRecognisedFpi=yes&intmId=33"
"32","Registered Portfolio Managers","33","2","Almondz Financial Services Limited","","INP000008589","pragati.gholap@almondz.com","9101143500700","9101143500700","F-33/3, Okhla Industrial Area, Phase II, NEW DELHI, NATIONAL CAPITAL TERRITORY OF DELHI, 110020","Pragati Gholap","F-33/3, Okhla Industrial Area, Phase II, NEW DELHI, NATIONAL CAPITAL TERRITORY OF DELHI, 110020","","","","","","pragati.gholap@almondz.com","9101143500700","Feb 09, 2024 - Perpetual","https://www.sebi.gov.in/sebiweb/other/OtherAction.do?doRecognisedFpi=yes&intmId=33"
"33","Registered Portfolio Managers","33","2","ALPHA ALTERNATIVES FUND ADVISORS LLP","","INP000006518","","","","","","","","","","","","","","Mar 29, 2019 - Perpetual","https://www.sebi.gov.in/sebiweb/other/OtherAction.do?doRecognisedFpi=yes&intmId=33"
"34","Registered Portfolio Managers","33","2","AlphaGrep Investment Management Private Limited","","INP000007401","compliance.in@alphagrepim.com","9102268858719","","Unit no. 12, A05, 13th Floor, Parinee Crescenzo, G Block, Bandra Kurla Complex, Bandra East, Mumbai, MUMBAI, MAHARASHTRA, 400051","Ankit Parikh","Unit no. 1406, 14th Floor, Parinee Crescenzo, MUMBAI, MAHARASHTRA, 400051","","","","","","compliance.in@alphagrepim.com","9102268858719","Apr 16, 2025 - Perpetual","https://www.sebi.gov.in/sebiweb/other/OtherAction.do?doRecognisedFpi=yes&intmId=33"
"35","Registered Portfolio Managers","33","2","Altlnvest Capital Advisors Private Limited","","INP000006800","invest@propsharecapital.com","9108041692999","","10th Floor, SKAV Seethalakshmi, 21/22, Kasturba Road, BANGALORE, KARNATAKA, 560001","Hashim Khan","10th Floor, SKAV Seethalakshmi, 21/22, Kasturba Road, BANGALORE, KARNATAKA, 560001","","","","","","invest@propsharecapital.com","9108041692999","Jun 28, 2019 - Perpetual","https://www.sebi.gov.in/sebiweb/other/OtherAction.do?doRecognisedFpi=yes&intmId=33"
"36","Registered Portfolio Managers","33","2","Amaltas Asset Management LLP","","INP000009126","chandni@amaltascapital.in","0919819568593","0919819568593","303 3rd Floor BGTA GANGA CHS Wadala Truck Terminal Antop Hill, MUMBAI, MAHARASHTRA, 400037","Chandni Shah","303 3rd Floor BGTA GANGA CHS Wadala Truck Terminal Antop Hill, MUMBAI, MAHARASHTRA, 400037","","","","","","chandni@amaltascapital.in","0919819568593","Dec 06, 2024 - Perpetual","https://www.sebi.gov.in/sebiweb/other/OtherAction.do?doRecognisedFpi=yes&intmId=33"
"37","Registered Portfolio Managers","33","2","AMBIT INVESTMENT ADVISORS PRIVATE LIMITED","","INP000005059","compliance@ambit.co","9102268601319","","Ambit house 449, senapati Bapat Marg, lower parel, MUMBAI, MAHARASHTRA, 400013","Meghana Kashte","2103 One Lodha Place, Senpati Bapat Marg Lower Parel, MUMBAI, MAHARASHTRA, 400013","","","","","","compliance@ambit.co","9102268601319","Apr 07, 2016 - Perpetual","https://www.sebi.gov.in/sebiweb/other/OtherAction.do?doRecognisedFpi=yes&intmId=33"
"38","Registered Portfolio Managers","33","2","Ambit Wealth Private Limited","","INP000007465","gpc.compliance@ambit.co","917666104082","","Ambit House, 449 Senapati Bapat Marg, MUMBAI, MAHARASHTRA, 400013","Shailesh Adukia","Ambit House, 449 Senapati Bapat Marg, MUMBAI, MAHARASHTRA, 400013","","","","","","gpc.compliance@ambit.co","917666104082","Oct 11, 2024 - Perpetual","https://www.sebi.gov.in/sebiweb/other/OtherAction.do?doRecognisedFpi=yes&intmId=33"
"39","Registered Portfolio Managers","33","2","Ambit Wealth Private Limited","","INP000007465","gpc.compliance@ambit.co","917666104082","","Ambit House, 449 Senapati Bapat Marg, MUMBAI, MAHARASHTRA, 400013","Shailesh Adukia","Ambit House, 449 Senapati Bapat Marg, MUMBAI, MAHARASHTRA, 400013","","","","","","gpc.compliance@ambit.co","917666104082","Oct 11, 2024 - Perpetual","https://www.sebi.gov.in/sebiweb/other/OtherAction.do?doRecognisedFpi=yes&intmId=33"
"40","Registered Portfolio Managers","33","2","AMETRA INVESTMENT MANAGERS PRIVATE LIMITED","","INP000008905","darshana.kothari@elever.app","910009739490383","910009739490383","Smartworks, Vaishnavi Tech Park, 5th Floor, South Wing, Sarjapur Main Road, Bellandur Gate, Ambalipura, BANGALORE, KARNATAKA, 560103","Darshana Kothari","Smartworks, Vaishnavi Tech Park, 5th Floor, South Wing, Sarjapur Main Road, Bellandur Gate, Ambalipura, BANGALORE, KARNATAKA, 560103","","","","","","darshana.kothari@elever.app","910009739490383","Aug 28, 2024 - Perpetual","https://www.sebi.gov.in/sebiweb/other/OtherAction.do?doRecognisedFpi=yes&intmId=33"
"41","Registered Portfolio Managers","33","2","Amicus India Capital Partners LLP","","INP000008941","abhijeeth@amicuscapital.in","0918046316600","","Rocklines House, 3rd Floor, 9 by 1 Museum Road, BANGALORE, KARNATAKA, 560001","Abhijeeth Naik","Rocklines House, 3rd Floor, 9 by 1 Museum Road, BANGALORE, KARNATAKA, 560001","","","","amicuscapital.in/","","abhijeeth@amicuscapital.in","0918046316600","Sep 03, 2024 - Perpetual","https://www.sebi.gov.in/sebiweb/other/OtherAction.do?doRecognisedFpi=yes&intmId=33"
"42","Registered Portfolio Managers","33","2","ANAND RATHI ADVISORS LIMITED","","INP000000282","","40013700","40013700","EXPRESS ZONE A- WING, 10TH FLOOR,, WESTERN EXPRESS HIGHWAY, GOREGAON (EAST), MUMBAI, MAHARASHTRA, 400063","DEEPAK KEDIA","4 th Floor, SILVER METRO POLIS, JAY COACH COMPOUND,OPP BIMBISAR NAGAR,GOREAGAON EAST, MUMBAI, MAHARASHTRA, 400063","","","","anandrathipms.com","","","40013700","Jul 01, 2014 - Perpetual","https://www.sebi.gov.in/sebiweb/other/OtherAction.do?doRecognisedFpi=yes&intmId=33"
"43","Registered Portfolio Managers","33","2","Angel One Investment Managers & Advisors Private Limited","","INP000009117","","","","","","","","","","","","","","Nov 27, 2024 - Perpetual","https://www.sebi.gov.in/sebiweb/other/OtherAction.do?doRecognisedFpi=yes&intmId=33"
"44","Registered Portfolio Managers","33","2","ANGEL ONE LIMITED","","INP000001546","","39413940 5335","39413940 5335","601, 6th Floor, Ackruti Star, Central Road, MIDC, Andheri (East), MUMBAI, MAHARASHTRA, 400093","Mr. Kamlesh Gujar","GROUND FLOOR, AKRUTI TRADE CENTRE, MIDC, ANDHERI (E), MUMBAI, MAHARASHTRA, 400093","","","","angelone.in/","","","39413940 5335","Jan 16, 2015 - Perpetual","https://www.sebi.gov.in/sebiweb/other/OtherAction.do?doRecognisedFpi=yes&intmId=33"
"45","Registered Portfolio Managers","33","2","Anicut Capital LLP","","INP000009223","venkatesh@anicutcapital.com","910009500014344","910009500014344","No. 89, Bishop Garden, Greenways Road, Raja Annamalaipuram, CHENNAI, TAMIL NADU, 600028","Venkatesh Parthasarathy","No. 89, Bishop Garden, Greenways Road, Raja Annamalaipuram, CHENNAI, TAMIL NADU, 600028","","","","","","venkatesh@anicutcapital.com","910009500014344","Feb 05, 2025 - Perpetual","https://www.sebi.gov.in/sebiweb/other/OtherAction.do?doRecognisedFpi=yes&intmId=33"
"46","Registered Portfolio Managers","33","2","Antler Innovation India Private Limited","","INP200007733","nitin@antler.co","000919930767884","000919930767884","2nd Floor 2981, 12th Main Road HAL 2nd Stage Indiranagar, BANGALORE, KARNATAKA, 560038","Nitin Sharma","","","","","","","nitin@antler.co","000919930767884","Dec 27, 2022 - Perpetual","https://www.sebi.gov.in/sebiweb/other/OtherAction.do?doRecognisedFpi=yes&intmId=33"
"47","Registered Portfolio Managers","33","2","Apricus Wealth Investment Managers LLP","","INP000009302","operations@apricuswealth.in","00919810312124","00919810312124","FLAT NO 1105, 11th Floor, 1106 SKIPPER HOUSE, 22 FIRE BRIGADE LANE, BARAKHAMBA, CONNAUGHT PLACE, CENTRAL DELHI, NEW DELHI, NATIONAL CAPITAL TERRITORY OF DELHI, 110001","Shantanu Kant","FLAT NO 1105, 11th Floor, 1106 SKIPPER HOUSE, 22 FIRE BRIGADE LANE, BARAKHAMBA, CONNAUGHT PLACE, CENTRAL DELHI, NEW DELHI, NATIONAL CAPITAL TERRITORY OF DELHI, 110001","","","","","","operations@apricuswealth.in","00919810312124","Mar 05, 2025 - Perpetual","https://www.sebi.gov.in/sebiweb/other/OtherAction.do?doRecognisedFpi=yes&intmId=33"
"48","Registered Portfolio Managers","33","2","ARCA Alternatives IM LLP","","INP000009807","deepak.naragund@arcaalternatives.com","91229900573756","","12th Floor C Wing Mittal Tower New No 21 Old No 6 47, Mahatma Gandhi Road Commercial Street Police Station Bangalore North Bangalore, BANGALORE, KARNATAKA, 560001","Sagar N","12th Floor C Wing Mittal Tower New No 21 Old No 6 47, Mahatma Gandhi Road Commercial Street Police Station Bangalore North Bangalore, BANGALORE, KARNATAKA, 560001","","","","https://www.arcaalternatives.com/","","deepak.naragund@arcaalternatives.com","91229900573756","Jan 23, 2026 - Perpetual","https://www.sebi.gov.in/sebiweb/other/OtherAction.do?doRecognisedFpi=yes&intmId=33"
"49","Registered Portfolio Managers","33","2","ARDEKO ASSET MANAGEMENT PRIVATE LIMITED","","INP000009384","dwaitin.dave@ardeko.in","00007935721558","00007935721558","705, The Ridge, Opp. Novotel, Iscon Char Rasta,, AHMEDABAD, GUJARAT, 380060","Dwaitin Dave","705, The Ridge, Opp. Novotel, Iscon Char Rasta, AHMEDABAD, GUJARAT, 380060","","","","","","dwaitin.dave@ardeko.in","00007935721558","Apr 03, 2025 - Perpetual","https://www.sebi.gov.in/sebiweb/other/OtherAction.do?doRecognisedFpi=yes&intmId=33"
"50","Registered Portfolio Managers","33","2","Arham Wealth Management Private Limited","","INP000008853","arhamwealthsurat@gmail.com","9102614245955","9102614245955","UNIT NO. 418, 419, 419A, 4TH FLOOR, DSCCSL TOWER, BLOCK NO. 53, ROAD 5C, GIFT CITY, GANDHINAGAR, GUJARAT, GANDHINAGAR, GUJARAT, 382355","NIRAV DESAI","GROUND FLOOR,B 2 INTERNATIONAL TRADE CENTRE MAJURA GATE, RING ROAD SURAT, SURAT, GUJARAT, 395002","","","","","","arhamwealthsurat@gmail.com","9102614245955","Aug 05, 2024 - Perpetual","https://www.sebi.gov.in/sebiweb/other/OtherAction.do?doRecognisedFpi=yes&intmId=33"
"51","Registered Portfolio Managers","33","3","Arnya Realestates Fund Advisors Private Limited","","INP000008932","anuj@arnya.in","910228879270660","","1104, Tower 2, Crescent Bay, Jerbai Wadia Road, Parel, MUMBAI, MAHARASHTRA, 400012","Anuj Kala","1704, 17th floor, One Lodha Place, Senapati Bapat Marg, Lower Parel, MUMBAI, MAHARASHTRA, 400013","","","","arnya.in","","anuj@arnya.in","910228879270660","Sep 03, 2024 - Perpetual","https://www.sebi.gov.in/sebiweb/other/OtherAction.do?doRecognisedFpi=yes&intmId=33"
